Company Name,Company Link,Programme Name,Programme Link,Opening Date,Closing Date
Deductive AI,https://bit.ly/3Z6P9rx,Software Engineer Intern,https://bit.ly/3ZpDd5E,26 Nov 2024,
Crowdstrike,https://bit.ly/4fQbIrE,Intern - Summer 2025,https://bit.ly/41sLOWT,24 Nov 2024,
WithSecure,https://bit.ly/3Pbk811,Cyber Security Internship - Summer 2025,https://bit.ly/40ctikt,23 Nov 2024,
Arondite,https://bit.ly/3CEtKyD,Software Engineer - Summer 2025 Intern,https://bit.ly/4eFmOOY,21 Nov 2024,14 Dec 2024
Nvidia,https://bit.ly/40XmTdy,CPU Compiler Intern - 2025,https://bit.ly/3V5AsE9,21 Nov 2024,02 Dec 2024
Hayfin Capital Management,https://bit.ly/3uxNfVk,Technology Intern,https://bit.ly/48U7ufU,18 Nov 2024,04 Dec 2024
FTI Consulting,https://bit.ly/3KuNEgS,"2025 Summer Internship | Cybersecurity, Forensic & Litigation",https://bit.ly/3AHNNvn,18 Nov 2024,
ICE,https://bit.ly/4fSgNzd,Summer Internship Program - Developer,https://bit.ly/4hSuOyP,15 Nov 2024,01 Dec 2024
Splunk,https://bit.ly/47I7SfC,Software Engineer Intern (C++),https://bit.ly/3OcXLYC,15 Nov 2024,
Symphony,https://bit.ly/4iRC8LI,"Intern, Software Development",https://bit.ly/4gwYPD8,11 Nov 2024,
Citi,http://bit.ly/3Ku01bZ,"2025, Technology Summer Analyst",https://bit.ly/4hIVyBO,08 Nov 2024,30 Nov 2024
BGC Group,https://bit.ly/4dRwztL,2025 Technology Summer Internship Programme,https://bit.ly/3YFV2Ml,07 Nov 2024,
Meta,https://bit.ly/4eoB9j9,Software Engineer Intern,https://bit.ly/3Yr1RRP,01 Nov 2024,
Genuit Group,https://bit.ly/4fgoEH7,Summer Intern - IT,https://bit.ly/4fjUFxY,01 Nov 2024,03 Jan 2025
MathWorks,https://bit.ly/3XrJwUb,Software Development Internship,https://bit.ly/3O5hb1z,30 Oct 2024,
Blackstone,https://bit.ly/3m81goW,2025 Software Developer Summer Analyst,https://bit.ly/3O3CVed,30 Oct 2024,28 Nov 2024
Redgate,https://bit.ly/3Cp3sQz,Software Engineer Internship 2025,https://bit.ly/40S0NsS,29 Oct 2024,15 Nov 2024
Crédit Agricole,https://bit.ly/40UojSI,Summer Internship Programme 2025 - IT,https://bit.ly/4f1mgDW,29 Oct 2024,
MarketAxess,https://bit.ly/3FAjzcA,Software Engineer Intern 2025,https://bit.ly/3O9l9X9,29 Oct 2024,
Tesco,https://bit.ly/3TsoovN,Software Development Engineer Intern,https://bit.ly/3YPY68y,28 Oct 2024,
Leonardo,https://bit.ly/3AI1sm1,Summer Placement Software Engineer,https://bit.ly/40K8K3t,28 Oct 2024,
DV Trading,https://bit.ly/3QQkgUb,2025 Summer Internship - Software Development,https://bit.ly/3QQkgUb,24 Oct 2024,
Warner Bros. Discovery,https://bit.ly/3CjeIOB,Software Engineering Intern - Summer 2025,https://bit.ly/3NWEeLR,23 Oct 2024,13 Dec 2024
Qube RT,https://bit.ly/40EcL6l,2025 Internship - Software Engineering,https://bit.ly/48n4dWp,21 Oct 2024,
Verisk,https://bit.ly/3ZjLNTN,Tech - 2025 Summer Internship Program,https://bit.ly/4faolgI,18 Oct 2024,13 Nov 2024
Rothesay,https://bit.ly/3zQHoO8,Internship - Software Engineering,https://bit.ly/4dWKpKy,17 Oct 2024,17 Nov 2024
XTX Markets,https://bit.ly/4fmADCF,Software Engineering Intern - Summer 2025,https://bit.ly/3UtaeuG,16 Oct 2024,14 Nov 2024
Snyk,https://bit.ly/3NNIRrT,Engineering Intern,https://bit.ly/4f3Ktch,15 Oct 2024,15 Nov 2024
Shell,https://bit.ly/3Rcqq30,Assessed Internship Programme 2025,https://bit.ly/3YnvHrn,15 Oct 2024,29 Jan 2025
National Highways,https://bit.ly/3XGQyWw,Intern - Digital and IT Services,https://bit.ly/3O6rAu6,14 Oct 2024,15 Nov 2024
Mako Trading,https://bit.ly/48baHaS,Summer Internship - Trading & Technology,https://bit.ly/3BISS6F,14 Oct 2024,13 Nov 2024
PA Consulting,https://bit.ly/3rjYtM7,Software Engineering - Summer Internship,https://bit.ly/4h0e6x6,11 Oct 2024,28 Oct 2024
Monzo,https://bit.ly/3UaV6lC,Software Engineering Internship (Summer 2025),https://bit.ly/4h4L3IN,11 Oct 2024,17 Nov 2024
Gearset,https://bit.ly/3NsBTby,Software Engineering Intern 2025,https://bit.ly/4eL0cgO,08 Oct 2024,31 Oct 2024
Vanguard,https://bit.ly/4a4ikPX,Technology Internship (Summer 2025),https://bit.ly/4exrPde,08 Oct 2024,24 Nov 2024
London Stock Exchange Group,http://bit.ly/432Rh4S,2025 Summer Internship Programme: Technology,https://bit.ly/4eNW2V4,08 Oct 2024,22 Nov 2024
Moody's,https://bit.ly/43i7d3x,Software Engineering Intern,https://bit.ly/3ZUFdUe,07 Oct 2024,28 Oct 2024
LCP,https://bit.ly/3AXTHIt,Technology - Summer Internship 2025,https://bit.ly/4enOB6R,07 Oct 2024,14 Nov 2024
Arch Insurance International,https://bit.ly/45HEbtX,2025 Summer Internship - IT Software Engineer,https://bit.ly/47UiBFa,07 Oct 2024,24 Jan 2025
Textron,https://bit.ly/47nDloI,2025 IT Summer Internship,https://bit.ly/4eojB6l,07 Oct 2024,15 Nov 2024
Siemens,https://bit.ly/3XFahpp,Software Developer Intern (Summer 2025 Internship),https://bit.ly/4gVWtOQ,05 Oct 2024,08 Nov 2024
Pacific Asset Management,https://bit.ly/3TUAi1E,Summer Internships 2025,https://bit.ly/3NfkFhu,04 Oct 2024,28 Oct 2024
Jefferies,https://bit.ly/3Mh852e,2025 Information Technology Summer Internship,https://bit.ly/4eQwXJg,03 Oct 2024,03 Nov 2024
Autodesk,https://bit.ly/3zVr3HH,"Intern, Software Engineering",https://bit.ly/3TOJVif,03 Oct 2024,
Allstate,https://bit.ly/3Y8jtTr,Data Analytics Engineer Internship (Summer 2025),https://bit.ly/3zBUkax,02 Oct 2024,31 Oct 2024
Expedia,https://bit.ly/3GgY0xL,Software Development Engineering Intern,https://bit.ly/3TSgzQ3,02 Oct 2024,02 Nov 2024
Wise,https://bit.ly/4f4SnT0,Software Engineering Intern,https://bit.ly/3BPIE4z,01 Oct 2024,31 Oct 2024
Centrica,https://bit.ly/4e0hbeu,DTS Software Engineering Summer Internship,https://bit.ly/3Y7sdJJ,01 Oct 2024,31 Oct 2024
Tradeweb,https://bit.ly/3ZiodXJ,Summer Internship Program 2025,https://bit.ly/4dBcOWd,01 Oct 2024,15 Oct 2024
Man Group,https://bit.ly/40Jh9RK,Technology Summer Internship - 2025,https://bit.ly/4drW1F5,30 Sep 2024,15 Nov 2024
Financial Conduct Authority,https://bit.ly/3QVzmrE,2025 Technology Summer Internship,https://bit.ly/4gOrlB4,30 Sep 2024,09 Dec 2024
Arm,https://bit.ly/3XWbK9D,Software Engineering Intern,https://bit.ly/3zZezih,30 Sep 2024,02 Nov 2024
Revolut,https://bit.ly/47CaJIv,Rev-celerator Internship Programme,https://bit.ly/3ZBnEYY,25 Sep 2024,08 Oct 2024
BP Trading,https://bit.ly/3zsSC7A,Summer Internship - Digital,https://bit.ly/3ZxWfY7,25 Sep 2024,04 Oct 2024
Sky,https://bit.ly/3wBoVTn,Software Development Internship,https://bit.ly/3zzvk3s,25 Sep 2024,27 Oct 2024
Balyasny Asset Management,https://bit.ly/3tOFytG,Software Engineering - Summer Internship,https://bit.ly/3TXOVRK,24 Sep 2024,
T. Rowe Price,https://bit.ly/40HQtRg,Global Technology Internship Program - 2025,https://bit.ly/3XWvVV9,23 Sep 2024,31 Oct 2024
Microsoft,https://bit.ly/3XFqjPX,Technology Specialist Internship Opportunities,https://bit.ly/3BrY7Yv,23 Sep 2024,
Natwest Markets,https://bit.ly/3MgkIdS,Software Engineering - Internship,https://bit.ly/4eundEb,23 Sep 2024,08 Nov 2024
Hubspot,https://bit.ly/4djywOD,Software Engineer Internship Program,https://bit.ly/3XDGTyq,23 Sep 2024,07 Nov 2024
American Express,https://bit.ly/3MeQgRe,Internship - Technology Software Engineer,https://bit.ly/4dfOgSD,23 Sep 2024,10 Nov 2024
Franklin Templeton,https://bit.ly/3N5nUrT,Edinburgh Summer Internship,https://bit.ly/3ZBnEYY,23 Sep 2024,31 Oct 2024
Everest,https://bit.ly/48vL2Ic,2025 Information Technology Summer Internship,https://bit.ly/47DgAx3,21 Sep 2024,15 Feb 2025
Galaxy,https://bit.ly/3Ek8uM6,2025 Blockchain Engineering Intern,https://bit.ly/3TuofI4,17 Sep 2024,14 Oct 2024
Google,https://bit.ly/4e6c50r,"Software Engineering Intern, 2025",https://bit.ly/3B4YmZb,17 Sep 2024,25 Oct 2024
Barclays,http://bit.ly/3MasuG6,Technology Summer Internship Programme 2025,https://bit.ly/47xU60q,17 Sep 2024,24 Nov 2024
HSBC,https://bit.ly/43grzdo,Digital Business Services - Summer Internship 2024-2025,https://bit.ly/3NcRCvg,17 Sep 2024,03 Nov 2024
Capital One,https://bit.ly/46dbd62,Technology Intern,https://bit.ly/4gsGqaZ,16 Sep 2024,04 Nov 2024
Deloitte,https://bit.ly/3KcUoPf,Summer Vacation Scheme,https://bit.ly/3Xl0p2A,16 Sep 2024,18 Oct 2024
Deutsche Bank,http://bit.ly/3UaxIDR,Internship Programme - Technology,https://bit.ly/4d2NV5G,16 Sep 2024,24 Nov 2024
BNY Mellon,https://bit.ly/3mc7uE7,2025 Summer Internship Program,https://bit.ly/4dddG3l,16 Sep 2024,
Mizuho,https://bit.ly/3nHtBTs,IT Summer Internship,https://bit.ly/3MMEVXy,13 Sep 2024,11 Oct 2024
Wells Fargo,https://bit.ly/3m9HjOE,EMEA Technology Summer Analyst,https://bit.ly/3MNC0hv,13 Sep 2024,15 Nov 2024
IMC Trading,https://bit.ly/4j1e9d9,Software Engineer Intern,https://bit.ly/3B83coE,13 Sep 2024,
MongoDB,https://bit.ly/4fQxw69,Software Engineering Internship - Summer 2025,https://bit.ly/4hV6jBh,12 Sep 2024,05 Oct 2024
Susquehanna International Group,https://bit.ly/3Ktfie5,Software Development Summer Internship 2025,https://bit.ly/3MK9jBS,12 Sep 2024,
Epic Games,https://bit.ly/4d2sAcI,Intern,https://bit.ly/4gjYgNt,12 Sep 2024,
Softwire,https://bit.ly/3AW3m28,Software Development Internship,https://bit.ly/47wLlE0,12 Sep 2024,
BAE Systems,https://bit.ly/4eggMFf,Summer Internship - Software Engineer,https://bit.ly/4enZKnV,12 Sep 2024,08 Oct 2024
Amazon,https://bit.ly/41ifin1,2025 Software Dev Engineer Intern,https://bit.ly/4eGOHGX,12 Sep 2024,01 Oct 2024
Cisco,https://bit.ly/4e34OhM,Software Engineer Internship - Summer 2025,https://bit.ly/3XMtFkA,10 Sep 2024,
G-Research,https://bit.ly/436m14R,Software Engineering Internship,https://bit.ly/3ZkTwkH,10 Sep 2024,05 Oct 2024
Zurich Insurance,https://bit.ly/45NmlXa,Technology Management Summer Internship 2025,https://bit.ly/4e0VMSM,09 Sep 2024,20 Oct 2024
Baillie Gifford,https://bit.ly/3U8Q4oA,Summer Internship 2025,https://bit.ly/478lHFj,03 Sep 2024,28 Oct 2024
Macquarie Group,https://bit.ly/3McnOj3,2025 Summer Internship Programme,https://bit.ly/4cO5Blt,02 Sep 2024,25 Oct 2024
Morgan Stanley,http://bit.ly/3KuiTIX,2025 Technology Summer Analyst Program,https://bit.ly/4gct3vJ,02 Sep 2024,14 Oct 2024
Maven Securities,https://bit.ly/3ZO7OXK,Software Developer Summer Internship 2025,https://bit.ly/4g63wUP,02 Sep 2024,21 Oct 2024
Netcraft,https://bit.ly/3R9NMFQ,Software Engineering - Student Application,https://bit.ly/4etVILj,01 Sep 2024,13 Oct 2024
Nomura,https://bit.ly/40L5u4T,Information Technology - Summer Internship,https://bit.ly/4dMfMIt,01 Sep 2024,01 Dec 2024
J.P. Morgan,http://bit.ly/40GchwM,2025 Software Engineer Programme,https://bit.ly/4e0NLxb,01 Sep 2024,03 Nov 2024
UBS,http://bit.ly/3ZEGPh4,2025 Summer Internship Program - GOTO Technology,https://bit.ly/3L4QsRK,30 Aug 2024,28 Sep 2024
Squarepoint Capital,https://bit.ly/3yoemEK,Intern Software Development - Summer 2025,https://bit.ly/4a1jf52,29 Aug 2024,
EY,https://bit.ly/3KxF6G8,Technology Consulting Summer Internship - 2025,https://bit.ly/3TRNBzO,28 Aug 2024,
Optiver,https://bit.ly/412NPWf,Software Engineer Internship (2025 Start),https://bit.ly/3W84yYo,27 Aug 2024,
PIMCO,https://bit.ly/3m4gifh,2025 Summer Internship - Technology Analyst,https://pimco.wd1.myworkdayjobs.com/en-US/pimco-careers?locationCountry=29247e57dbaf46fb855b224e03170bc7&locations=c3a960b7b21f10016312adea6fcd0000&jobFamilyGroup=b27adc21fb841001104e883f4e350000,27 Aug 2024,
Jump Trading,https://bit.ly/3U8FePj,Campus Software Engineer (Intern),https://bit.ly/3AAcABc,23 Aug 2024,
Bank of America,https://bit.ly/3zwxb5G,Software Engineer Summer 2025 Analyst,https://bit.ly/46SpQgs,19 Aug 2024,25 Oct 2024
Goldman Sachs,http://bit.ly/3Mfyq0k,2025 Summer Analyst Programme,https://bit.ly/3yBuVx3,15 Aug 2024,
Jane Street,https://bit.ly/40LeW8n,Software Engineer Internship,https://bit.ly/3WBFloq,14 Aug 2024,
BNP Paribas,https://bit.ly/3lYgwos,2025 Summer Internship - Technology,https://bit.ly/4dxyXW8,06 Aug 2024,22 Sep 2024
Citadel,https://bit.ly/3nMbE6f,Software Engineer - Intern (Europe),https://bit.ly/3OkB4CD,06 Aug 2024,
Talos,https://bit.ly/46yfdPE,Software Engineering Intern,https://bit.ly/3YqfyC6,02 Aug 2024,01 Sep 2024
Palantir,https://bit.ly/4gkWXxL,"Software Engineer, Internship",https://bit.ly/4c6rNXC,01 Aug 2024,
Millennium Management,https://bit.ly/40SBsMs,Software Engineer Summer Intern,https://bit.ly/3YuQtpu,01 Aug 2024,
Marshall Wace,https://bit.ly/3t46eX2,Technology Intern - 2025,https://bit.ly/4ch7pD8,30 Jul 2024,
The Trade Desk,https://bit.ly/4d030pr,2025 Summer Intern - Software Engineer,https://bit.ly/4d92bL8,24 Jul 2024,26 Aug 2024
Castleton Commodities International,https://bit.ly/42Zq0Ap,Internship (Summer 2025),https://bit.ly/3WfvZOW,23 Jul 2024,08 Oct 2024
DRW,https://bit.ly/3KqdRwu,Software Developer Intern,https://bit.ly/4cOh8SH,19 Jul 2024,
GSA Capital,https://bit.ly/4fuuzsG,Software Developer - Intern,https://bit.ly/3SYCaGr,15 Jul 2024,
BlackRock,https://bit.ly/410zFop,Summer Internship Program - EMEA,https://bit.ly/3W72sHh,01 Jul 2024,
Capstone,https://bit.ly/3ZGMqDD,2025 Summer Internship - Software Engineering,https://bit.ly/4cOIjfV,31 May 2024,16 Oct 2024
Point72,https://bit.ly/3m8H8CY,2024 Software Engineer Internship,https://bit.ly/3LsCZTE,01 Mar 2024,01 Aug 2024
MUFG,https://bit.ly/3Kbsoex,2025 Summer Internship Programme: Technology,,,
Accelercom,https://bit.ly/4hQ1xVx,Summer Internship Python 2025,,,
Addepar,https://bit.ly/3zprtWv,Software Engineer Intern,,,
Marsh McLennan,https://bit.ly/3K8adGI,Tech Support Summer Internship 2025,,,
Nutanix,https://bit.ly/4e26Ped,Software Engineer Intern,,,
Terra,,AI and Engineering Intern,,,
Two Sigma,https://bit.ly/46CV8Y9,Software Engineering Internship,,,
Universal Music Group,https://bit.ly/3MIHJVJ,IT Intern,,,
D.E. Shaw,https://bit.ly/3Mb40MW,Systems: Engineering Intern - Summer 2025,,,
Hudson River Trading,https://bit.ly/3nNsPUN,Software Engineering Internship - Summer 2025,,,
Schonfeld,http://bit.ly/40ZZ1mh,2025 Network Engineering Summer Internship,,,
Willis Towers Watson,https://bit.ly/3RbH4zG,2025 Software Developer Internship,,,
M&G,https://bit.ly/3U5Sl3X,Technology Summer Internship (London),,,
TD Securities,https://bit.ly/3McN4FT,Intern Tech Summer Programme 2025,,,
Cloudflare,https://bit.ly/4e35rIk,Software Engineer - Intern (Summer 2025),,,
McLaren,https://bit.ly/3XptqKF,IT Internship Scheme,,,
TP ICAP,https://bit.ly/3rSJ0Tw,Technology Summer Internship 2025,,,
HME,https://bit.ly/4emR0i8,Software Engineering Intern,,,
QinetiQ,https://bit.ly/3XgwHfi,IT Engineer - Summer Placement,,,
Rolls-Royce,https://bit.ly/47wKIKE,Technology Summer Internship,,,
TikTok,https://bit.ly/3TqXaFK,"System Software Engineer, Summer Intern",,,
UK Atomic Energy Authority,https://bit.ly/4d5uuZS,Software Engineering - Summer Placement 2025,,,
BT,https://bit.ly/3ZlzOoK,Summer Placement - Research & Network Strategy,,,
Graphcore,https://bit.ly/4ecrRqi,Intern 2025 - Software,,,
Renishaw,https://bit.ly/3Bd2Vk3,Software Summer Internship,,,
Jacobs,https://bit.ly/3TqN5Zy,Geospatial & GIS - Summer Internship,,,
King,https://bit.ly/4e00m3p,Summer Technology Internships 2025,,,
Five AI,https://bit.ly/4enWKbw,Software Engineer - Summer Internship 2025,,,
Ripple,https://bit.ly/3tPCI80,Software Engineer Intern (Summer),,,
Speechmatics,https://bit.ly/3Zqwzwn,ML Software Engineering Internship,,,
NXP Semiconductors,https://bit.ly/3B2tFE2,Internship - Software Engineering - 2025,,,
Mastercard,https://bit.ly/3KdsRNg,"Software Engineering Intern, Summer 2025",,,
HP,https://bit.ly/47ro6Lf,Software Engineer Intern,,,
Quantcast,https://bit.ly/3XHtIy2,Software Engineering Intern - Summer 2025,,,
TE Connectivity,https://bit.ly/4gr3pn5,Software Engineer Intern,,,
FSP,https://bit.ly/3XpDPG5,Intern Software Developer,,,
S&P Global,https://bit.ly/40GWnCk,Summer Intern,,,
ICBC Standard Bank,https://bit.ly/3O84CmH,Summer Intern - Technology,,,
Thales,https://bit.ly/47qN8ua,Software Engineering Intern,,,
Hiscox,https://bit.ly/3Qx603w,Technology Intern,,,
PredictX,https://bit.ly/3uPdmrl,Paid Summer 2025 Internship,,,
Cboe Global Markets,https://bit.ly/3I12IRd,Intern,,,
Spotify,https://bit.ly/3ZopVXE,2025 Summer Internship,,,
KPMG,https://bit.ly/3m6oR9v,Vacation Technology - Technology Consulting,,,
The Walt Disney Company,https://bit.ly/3XkF3CJ,Technology & IT Internships,,,
SLB,https://bit.ly/3TpHOBv,,,,
Netflix,https://bit.ly/4ejwH59,Internship Program 2025,,,
Angstrom Sports,https://bit.ly/3MG9w9p,,,,
Bloomberg,https://bit.ly/3Mgp4S1,,,,
IBM,https://bit.ly/47nV8w2,,,,
Oracle,https://bit.ly/3B3g3bw,,,,
